"labeling_id","pmid","doi","title","abstract","url","labeler1_effect_measure","labeler1_effect_estimate","labeler1_ci_lower","labeler1_ci_upper","labeler1_lag","labeler1_exposure_increment","labeler1_outcome_specific","labeler1_study_design","labeler1_study_location","labeler1_population","labeler1_n_estimates_in_abstract","labeler1_notes"
"LBL-005","35307034","10.1186/s12931-022-01983-1","Asthma and COPD exacerbation in relation to outdoor air pollution in the metropolitan area of Berlin, Germany.","BACKGROUND: Ambient air pollution poses a major risk for the development and aggravation of respiratory diseases. Evidence suggests that even in low-level air pollution environments there is a risk for an increase in adverse respiratory symptoms. We examined whether variations in daily air pollution levels of nitrogen dioxide, ozone, or particulate matter in Berlin, Germany were associated with hospital admissions of chronic obstructive pulmonary disease (COPD) and asthma patients in a time series analysis. METHODS: We calculated single and multi-pollutant models, investigated possible lags in effect, and analysed the influence of meteorological variables on the results. Data from January 2005 through December 2015 were used to quantify the concentration-response. RESULTS: The risk ratio for asthma patients to be hospitalised on the same day of NO2 exposure was 1.101 per 10 µg/m3 NO2 increase (95% CI: 1.013 to 1.195), for COPD patients 1.123 (95% CI: 1.081 to 1.168). Neither the exposure to ozone (95% CI: 0.904 to 1.020), PM10 (95% CI: 0.990 to 1.127), nor PM2.5 (95% CI: 0.981 to 1.148) was associated with an increased risk ratio for asthma patients to be hospitalised. Risk ratios for the hospital admission of COPD patients were also not increased due to ozone (95% CI: 0.981 to 1.033), PM10 (95% CI: 0.988 to 1.032), or PM2.5 (95% CI: 0.966 to 1.019) exposure. The presented risk ratios and confidence intervals relate to the day of exposure. We found no increased hospitalisation risks with a delayed occurrence on subsequent days. CONCLUSIONS: A quantifiable, statistically significant increase in risk for asthma and COPD exacerbations owing to NO2 exposure at levels well below European regulatory limit values was observed.","https://pubmed.ncbi.nlm.nih.gov/35307034/","","","","","","","","","","","",""
"LBL-008","36856604","10.20452/pamw.16444","Air pollution and long-term risk of hospital admission due to chronic obstructive pulmonary disease exacerbations in Poland: a time-stratified, case-crossover study.","INTRODUCTION: Airborne pollutants may worsen the course of chronic obstructive pulmonary disease (COPD). Previous studies have shown that both particulate and gaseous pollutants increase airway inflammation, which may lead to an exacerbation of COPD. OBJECTIVES: The aim of the study was to investigate the association between exposure to airborne pollutants and the risk of COPD exacerbations in 3 the largest urban agglomerations in Poland: Warsaw, Kraków, and Tricity. PATIENTS AND METHODS: We used a case‑crossover approach to analyze data from the years 2011-2018. This time‑series study used distributed lag linear-nonlinear models to analyze the risk of hospital admission due to COPD exacerbations during 21 days following the exposure to particulate matter (PM), NO2, and SO2. RESULTS: Overall, there were 26 948 admissions due to COPD exacerbations. During 21 days after exposure, the rate ratio (95% CI) for admissions per 10 μg/m3 was 1.028 (1.008-1.049) for PM10, 1.030 (1.006-1.055) for PM2.5, 1.032 (0.988-1.078) for NO2, and 1.145 (1.038-1.262) for SO2. The risk for admission peaked at 10 days after the exposure to PM10 and PM2.5, whereas for NO2 and SO2 the risk was the greatest on the day of exposure. The proportion (95% CI) of hospitalizations attributable to air pollution was 9.08% (3.10%-15.08%) for PM10, 7.61% (1.27%-13.49%) for PM2.5, 9.77% (-3.63% to 21.48%) for NO2, and 7.70% (2.30%-12.84%) for SO2. CONCLUSIONS: PM2.5, PM10, NO2, and SO2 pollution was associated with an increased risk of COPD exacerbations that needed hospitalization. There were different risk patterns for particulate and gaseous pollutants. Improving air quality in Polish cities could reduce the burden of COPD.","https://pubmed.ncbi.nlm.nih.gov/36856604/","","","","","","","","","","","",""
"LBL-010","30277796","10.1164/rccm.201806-1147OC","Age-Specific Associations of Ozone and Fine Particulate Matter with Respiratory Emergency Department Visits in the United States.","RATIONALE: Whereas associations between air pollution and respiratory morbidity for adults 65 years and older are well documented in the United States, the evidence for people under 65 is less extensive. To address this gap, the Centers for Disease Control and Prevention's National Environmental Public Health Tracking Program collected respiratory emergency department (ED) data from 17 states. OBJECTIVES: To estimate age-specific acute effects of ozone and fine particulate matter (particulate matter ≤2.5 mm in aerodynamic diameter [PM2.5]) on respiratory ED visits. METHODS: We conducted time-series analyses in 894 counties by linking daily respiratory ED visits with estimated ozone and PM2.5 concentrations during the week before the date of the visit. Overall effect estimates were obtained with a Bayesian hierarchical model to combine county estimates for each pollutant by age group (children, 0-18; adults, 19-64; adults ≥ 65, and all ages) and by outcome group (acute respiratory infection, asthma, chronic obstructive pulmonary disease, pneumonia, and all respiratory ED visits). MEASUREMENTS AND MAIN RESULTS: Rate ratios (95% credible interval) per 10-μg/m3 increase in PM2.5 and all respiratory ED visits were 1.024 (1.018-1.029) among children, 1.008 (1.004-1.012) among adults younger than 65 years, and 1.002 (0.996-1.007) among adults 65 and older. Per 20-ppb increase in ozone, rate ratios were 1.017 (1.011-1.023) among children, 1.051 (1.046-1.056) among adults younger than 65, and 1.033 (1.026-1.040) among adults 65 and older. Associations varied in magnitude by age group for each outcome group. CONCLUSIONS: These results address a gap in the evidence used to ensure adequate public health protection under national air pollution policies.","https://pubmed.ncbi.nlm.nih.gov/30277796/","","","","","","","","","","","",""
"LBL-017","21172759","10.1289/ehp.1002638","Distributed lag analyses of daily hospital admissions and source-apportioned fine particle air pollution.","BACKGROUND: Past time-series studies of the health effects of fine particulate matter [aerodynamic diameter ≤ 2.5 µm (PM2.5)] have used chemically nonspecific PM2.5 mass. However, PM2.5 is known to vary in chemical composition with source, and health impacts may vary accordingly. OBJECTIVE: We tested the association between source-specific daily PM2.5 mass and hospital admissions in a time-series investigation that considered both single-lag and distributed-lag models. METHODS: Daily PM2.5 speciation measurements collected in midtown Manhattan were analyzed via positive matrix factorization source apportionment. Daily and distributed-lag generalized linear models of Medicare respiratory and cardiovascular hospital admissions during 2001-2002 considered PM2.5 mass and PM2.5 from five sources: transported sulfate, residual oil, traffic, steel metal works, and soil. RESULTS: Source-related PM2.5 (specifically steel and traffic) was significantly associated with hospital admissions but not with total PM2.5 mass. Steel metal works-related PM2.5 was associated with respiratory admissions for multiple-lag days, especially during the cleanup efforts at the World Trade Center. Traffic-related PM2.5 was consistently associated with same-day cardiovascular admissions across disease-specific subcategories. PM2.5 constituents associated with each source (e.g., elemental carbon with traffic) were likewise associated with admissions in a consistent manner. Mean effects of distributed-lag models were significantly greater than were maximum single-day effect models for both steel- and traffic-related PM2.5. CONCLUSIONS: Past analyses that have considered only PM2.5 mass or only maximum single-day lag effects have likely underestimated PM2.5 health effects by not considering source-specific and distributed-lag effects. Differing lag structures and disease specificity observed for steel-related versus traffic-related PM2.5 raise the possibility of distinct mechanistic pathways of health effects for particles of differing chemical composition.","https://pubmed.ncbi.nlm.nih.gov/21172759/","","","","","","","","","","","",""
"LBL-018","24555678","10.1080/15287394.2013.853337","Fine particulate air pollution and hospital admissions for pneumonia in a subtropical city: Taipei, Taiwan.","This study was undertaken to determine whether there was a correlation between fine particles (PM2.5) levels and hospital admissions for pneumonia in Taipei, Taiwan. Hospital admissions for pneumonia and ambient air pollution data for Taipei were obtained for the period from 2006 to 2010. The relative risk of hospital admissions for pneumonia was estimated using a case-crossover approach, controlling for weather variables, day of the week, seasonality, and long-term time trends. For the single-pollutant model (without adjustment for other pollutants), increased numbers of admissions for pneumonia were significantly associated with higher PM2.5 levels both on warm days (>23°C) and on cool days (<23°C). This was accompanied by an interquartile range elevation correlated with a 12% (95% CI = 16%-13%) and 4% (95% CI = 3%-6%) rise in number of admissions for pneumonia, respectively. In the two-pollutant models, PM2.5 remained significant after inclusion of sulfur dioxide (SO₂) or ozone (O₃) both on warm and on cool days. This study provides evidence that higher levels of PM2.5 increase the risk of hospital admissions for pneumonia.","https://pubmed.ncbi.nlm.nih.gov/24555678/","","","","","","","","","","","",""
"LBL-019","35384572","10.1007/s10653-022-01256-2","Association of air pollutants and hospital admissions for respiratory diseases in Lanzhou, China, 2014-2019.","The aim of this study was to assess the effects of air pollutants on hospital admissions for respiratory disease (RD) by using distributed lag nonlinear model (DLNM) in Lanzhou during 2014-2019. In this study, the dataset of air pollutants, meteorological, and daily hospital admissions for RD in Lanzhou, from January 1st, 2014 to December 31st, 2019, were collected from three national environmental monitoring stations, China meteorological data service center, and three large general hospitals, respectively. A time-series analysis with DLNM was used to estimate the associations between air pollutants and hospital admissions for RD including the stratified analysis of age, gender, and season. The key findings were expressed as the relative risk (RR) with a 95% confidence interval (CI) for single-day and cumulative lag effects (0-7). A total of 90, 942 RD hospitalization cases were identified during the study period. The highest association (RR, 95% CI) of hospital admissions for RD and PM2.5 (1.030, 1.012-1.049), and PM10 (1.009, 1.001-1.015), and NO2 (1.047, 1.024-1.071) were observed at lag 07 for an increase of 10 μg/m3 in the concentrations, and CO at lag07 (1.140, 1.052-1.236) for an increase of 1 mg/m3 in the concentration. We observed that the RR estimates for gaseous pollutants (e.g., CO and NO2) were larger than those of particulate matter (e.g., PM2.5 and PM10). The harmful effects of PM2.5, PM10, NO2, and CO were greater in male, people aged 0-14 group and in the cold season. However, no significant association was observed for SO2, O38h, and total hospital admissions for RD. Therefore, some effective intervention strategies should be taken to strengthen the treatment of the ambient air pollutants, especially gaseous pollutants (e.g., CO and NO2), thereby, reducing the burden of respiratory diseases.","https://pubmed.ncbi.nlm.nih.gov/35384572/","","","","","","","","","","","",""
"LBL-022","26350981","10.1038/jes.2015.57","Ambient air pollution and emergency department visits for asthma: a multi-city assessment of effect modification by age.","Previous studies have found strong associations between asthma morbidity and major ambient air pollutants. Relatively little research has been conducted to assess whether age is a factor conferring susceptibility to air pollution-related asthma morbidity. We investigated the short-term relationships between asthma emergency department (ED) visits and ambient ozone (O3), carbon monoxide (CO), nitrogen dioxide (NO2), sulfur dioxide (SO2), and fine particulate matter (PM2.5) in Atlanta (1993-2009), Dallas (2006-2009), and St. Louis (2001-2007). City-specific daily time-series analyses were conducted to estimate associations by age group (0-4, 5-18, 19-39, 40-64, and 65+ years). Sub-analyses were performed stratified by race and sex. City-specific rate ratios (RRs) were combined by inverse-variance weighting to provide an overall association for each strata. The overall RRs differed across age groups, with associations for all pollutants consistently strongest for children aged 5-18 years. The patterns of association across age groups remained generally consistent when models were stratified by sex and race, although the strong observed associations among 5-18 year olds appeared to be partially driven by non-white and male patients. Our findings suggest that age is a susceptibility factor for asthma exacerbations in response to air pollution, with school-age children having the highest susceptibility.","https://pubmed.ncbi.nlm.nih.gov/26350981/","","","","","","","","","","","",""
"LBL-033","31787180","10.1016/j.jes.2019.05.015","Association of emergency room visits for respiratory diseases with sources of ambient PM","Previous studies have reported associations of short-term exposure to different sources of ambient fine particulate matter (PM2.5) and increased mortality or hospitalizations for respiratory diseases. Few studies, however, have focused on the short-term effects of source-specific PM2.5 on emergency room visits (ERVs) of respiratory diseases. Source apportionment for PM2.5 was performed with Positive Matrix Factorization (PMF) and generalized additive model was applied to estimate associations between source-specific PM2.5 and respiratory disease ERVs. The association of PM2.5 and total respiratory ERVs was found on lag4 (RR = 1.011, 95%CI: 1.002, 1.020) per interquartile range (76 μg/m3) increase. We found PM2.5 to be significantly associated with asthma, bronchitis and chronic obstructive pulmonary disease (COPD) ERVs, with the strongest effects on lag5 (RR = 1.072, 95%CI: 1.024, 1.119), lag4 (RR = 1.104, 95%CI: 1.032, 1.176) and lag3 (RR = 1.091, 95%CI: 1.047, 1.135), respectively. The estimated effects of PM2.5 changed little after adjusting for different air pollutants. Six primary PM2.5 sources were identified using PMF analysis, including dust/soil (6.7%), industry emission (4.5%), secondary aerosols (30.3%), metal processing (3.2%), coal combustion (37.5%) and traffic-related source (17.8%). Some of the sources were identified to have effects on ERVs of total respiratory diseases (dust/soil, secondary aerosols, metal processing, coal combustion and traffic-related source), bronchitis ERVs (dust/soil) and COPD ERVs (traffic-related source, industry emission and secondary aerosols). Different sources of PM2.5 contribute to increased risk of respiratory ERVs to different extents, which may provide potential implications for the decision making of air quality related policies, rational emission control and public health welfare.","https://pubmed.ncbi.nlm.nih.gov/31787180/","","","","","","","","","","","",""
"LBL-034","32760064","10.1371/journal.pmed.1003188","Ambient air pollution and cause-specific risk of hospital admission in China: A nationwide time-series study.","BACKGROUND: The impacts of air pollution on circulatory and respiratory systems have been extensively studied. However, the associations between air pollution exposure and the risk of noncommunicable diseases of other organ systems, including diseases of the digestive, musculoskeletal, and genitourinary systems, remain unclear or inconclusive. We aimed to systematically assess the associations between short-term exposure to main air pollutants (fine particulate matter [PM2.5] and ozone) and cause-specific risk of hospital admission in China over a wide spectrum of human diseases. METHODS AND FINDINGS: Daily data on hospital admissions for primary diagnosis of 14 major and 188 minor disease categories in 252 Chinese cities (107 cities in North China and 145 cities in South China) from January 1, 2013, to December 31, 2017, were obtained from the Hospital Quality Monitoring System of China (covering 387 hospitals in North China and 614 hospitals in South China). We applied a 2-stage analytic approach to assess the associations between air pollution and daily hospital admissions. City-specific associations were estimated with quasi-Poisson regression models and then pooled by random-effects meta-analyses. Each disease category was analyzed separately, and the P values were adjusted for multiple comparisons. A total of 117,338,867 hospital admissions were recorded in the study period. Overall, 51.7% of the hospitalized cases were male, and 71.3% were aged <65 years. Robust positive associations were found between short-term PM2.5 exposure and hospital admissions for 7 major disease categories: (1) endocrine, nutritional, and metabolic diseases; (2) nervous diseases; (3) circulatory diseases; (4) respiratory diseases; (5) digestive diseases; (6) musculoskeletal and connective tissue diseases; and (7) genitourinary diseases. For example, a 10-μg/m3 increase in PM2.5 was associated with a 0.21% (95% CI 0.15% to 0.27%; adjusted P < 0.001) increase in hospital admissions for diseases of the digestive system on the same day in 2-pollutant models (adjusting for ozone). There were 35 minor disease categories significantly positively associated with same-day PM2.5 in both single- and 2-pollutant models, including diabetes mellitus, anemia, intestinal infection, liver diseases, gastrointestinal hemorrhage, renal failure, urinary tract calculus, chronic ulcer of skin, and back problems. The association between short-term ozone exposure and respiratory diseases was robust. No safety threshold in the exposure-response relationships between PM2.5 and hospital admissions was observed. The main limitations of the present study included the unavailability of data on personal air pollution exposures. CONCLUSIONS: In the Chinese population during 2013-2017, short-term exposure to air pollution, especially PM2.5, was associated with increased risk of hospitalization for diseases of multiple organ systems, including certain diseases of the digestive, musculoskeletal, and genitourinary systems; many of these associations are important but still not fully recognized. The effect estimates and exposure-response relationships can inform policy making aimed at protecting public health from air pollution in China.","https://pubmed.ncbi.nlm.nih.gov/32760064/","","","","","","","","","","","",""
"LBL-035","35661917","10.1007/s00420-022-01887-z","Association between air pollution and hospital admissions for chronic respiratory disease in people aged over 65 years: a time series analysis in Ningbo, China, 2015-2017.","PURPOSE: To provide essential information of environmental triggers leading to CRD. METHODS: We investigated the short-term effects of ambient air pollutants on CRD-related hospitalizations in people aged ≥ 65 years in Ningbo. Data on 23,610 cases of CRD requiring hospitalization were collected from January 2015 to August 2017. After adjusting for temporal trends, seasonality, meteorological conditions, day of week (DOW), and public holidays, we used generalized additive Poisson distribution models to calculate the excess risks (ERs) and 95% confidence intervals (95% CIs) of CRD related hospitalizations. RESULTS: Our results showed that fine particulate matter (PM2.5), inhalable particulate matter (PM10), sulfur dioxide (SO2), nitrogen dioxide (NO2), and carbon monoxide (CO) were associated with CRD-related hospitalizations in people aged ≥ 65 years. We observed that each 10 μg/m3 increase (except for each 0.1 mg/m3 increase in CO) in the concentration of air pollutants, the percentage of CRD-related hospitalizations due to PM2.5, PM10, and SO2 exposure at lag 07, NO2 exposure at lag 03, and CO exposure at lag 0 increased by 2.13% (95% CI: 0.55%, 3.74%), 1.76% (95% CI: 0.70%, 2.83%), 8.24% (95% CI: 0.92%, 16.09%), 2.16% (95% CI: 0.26%, 4.05%), and 1.19% (95% CI: 0.26%, 2.12%), respectively. In addition, we found stronger effects of particulate matter in 75-84 years age group, on warmer days, and in asthmatics. CONCLUSION: In conclusion, air pollution may have adverse effects on CRD-related hospitalizations among people aged ≥ 65 years in Ningbo. Therefore, public health measures should be taken to improve air quality.","https://pubmed.ncbi.nlm.nih.gov/35661917/","","","","","","","","","","","",""
