labeling_id,pmid,year,journal,title,labeler1_decision,labeler1_criteria,labeler1_rationale,labeler2_decision,labeler2_criteria,labeler2_rationale,nature_of_disagreement,coordinator_note,consensus_decision,tiebreak_decision,tiebreak_criterion,tiebreak_rationale
LBL-022,26350981,2016,Journal of exposure science & environmental ,Ambient air pollution and emergency department visits for asthma: a multi-city assessment of effect modification by age.,EXCLUDE,5c,"Menciona que estimou RR, mas sem valores e sem mencionar IC",UNCERTAIN,5b,"RR SEM VALORES, APENAS CITA QUE FOI USADO",5b vs 5c,"ATENCAO: a rationale de labeler1 ('menciona que estimou RR, mas sem valores') descreve o caso 5b, porem o criterio marcado foi 5c. 5b implicaria UNCERTAIN.",,,,
LBL-030,21569371,2011,Environmental health : a global access scien,Implications of different approaches for characterizing ambient air pollutant concentrations within the urban airshed fo,EXCLUDE,5c,"não mencionam estimativas de efeito para PM2,5 ",UNCERTAIN,5b,"CITA RR, MAS SEM VALORES ",5b vs 5c,,,,,
LBL-034,32760064,2020,PLoS medicine,Ambient air pollution and cause-specific risk of hospital admission in China: A nationwide time-series study.,EXCLUDE,5c,"não mencionam estimativas de efeito para PM2,5 para causas respiratórias",UNCERTAIN,5b,"CITA IC%, MAS NÃO TRÁS VALORES PARA OUTCOME RESPIRATÓRIO",5b vs 5c,,,,,
LBL-038,39520750,2024,Ecotoxicology and environmental safety,Ambient air pollution and hospital admission for interstitial lung diseases: A multicenter hospital-based case-crossover,EXCLUDE,5c,"não mencionam estimativas de efeito para PM2,5",UNCERTAIN,5b,"CITA IC9%, MAS SEM VALORES PARA MP2.5",5b vs 5c,,,,,
LBL-047,25776011,2015,American journal of epidemiology,Ensemble-based source apportionment of fine particulate matter and emergency department visits for pediatric asthma.,EXCLUDE,"2,3,5c","Não menciona PM2,5; não menciona hospitalização respiratória; não menciona efeito para PM2,5",INCLUDE,,"ESTUDO, MP2.5, ASMA, TIME SERIES, IC95% PARA FONTE DE MP2.5, INGLÊS",outro criterio,"VERIFICAVEL: o titulo contem literalmente 'fine particulate matter' e 'emergency department visits'; a rationale de labeler1 ('nao menciona PM2,5; nao menciona hospitalizacao') nao se sustenta no titulo.",,,,
LBL-061,37352580,2023,Environment international,Impact of ultrafine particles and total particle number concentration on five cause-specific hospital admission endpoint,EXCLUDE,5c,Não menciona número + IC 95% para PM2.5,UNCERTAIN,5b,"NÃO FALA TIME SERIES, MAS HÁ INDÍCIOS DE SER, IC 95% NÃO CITADO PARA MP2.5, APENAS FALA DE TER ASSOCIAÇÃO",5b vs 5c,,,,,
LBL-064,34710436,2022,Environmental research,Do temporal trends of associations between short-term exposure to fine particulate matter (PM,EXCLUDE,5c,Não menciona número + IC 95% para PM2.5 por causas respiratórias,UNCERTAIN,5b,"IC 95% PARA CIRCULATÓRIO, PARA RESPIRATÓRIO SO CITA ASSOCIAÇÃO",5b vs 5c,,,,,
LBL-069,31446603,2019,Environmental science and pollution research,The hospitalization attributable burden of acute exacerbations of chronic obstructive pulmonary disease due to ambient a,EXCLUDE,"4,5b","Não menciona design, apenas que usou modelo de regressão; Menciona efeito mas sem os valores de IC 95% ",UNCERTAIN,5b,COM ASSOCIAÇÃO SEM NUMERO,5b vs 5c,,,,,
LBL-076,34428652,2021,The Science of the total environment,"Long term exposure to air pollution, mortality and morbidity in New Zealand: Cohort study.",EXCLUDE,"4,5c","Cohort study; não menciona efeito para PM2,5 para doenças respiratórias",UNCERTAIN,4,COHORT STUDY,outro criterio,,,,,
LBL-091,28628139,2017,Beijing da xue xue bao. Yi xue ban = Journal,[Effect of particulate air pollution on hospital admissions for acute exacerbation of chronic obstructive pulmonary dise,INCLUDE,,Atende aos 6 critérios,EXCLUDE,6,ARTIGO EM CHINÊS,outro criterio,VERIFICAVEL: titulo entre colchetes no PubMed = convencao para artigo nao publicado em ingles; periodico 'Beijing da xue xue bao / J Peking Univ Health Sci'. Criterio 6 (ingles) parece falhar.,,,,
LBL-097,37338586,2023,International archives of occupational and e,The impact of ambient air pollutants on childhood respiratory system disease and the resulting disease burden: a time-se,EXCLUDE,"4,5c","Não menciona design, apenas que usou modelo aditivo generalizado; não menciona efeito do PM2,5 com os valores de IC 95% ",UNCERTAIN,5b,RR IC95% PARA MP2.5 NÃO ESPECIFICADO,5b vs 5c,,,,,
