labeling_id,pmid,doi,year,journal,title,abstract,url,labeler2_decision_v12,labeler2_confidence_v12,labeler2_rationale_v12,labeler2_criteria_failed_v12
LBL-003,12055048,10.1289/ehp.02110575,2002,Environmental health perspectives,The influence of ambient coarse particulate matter on asthma hospitalization in children: case-crossover and time-series analyses.,"In this study, we used both case-crossover and time-series analyses to assess the associations between size-fractionated particulate matter and asthma hospitalization among children 6-12 years old living in Toronto between 1981 and 1993. Specifically, we used exposures averaged over periods varying from 1 to 7 days to assess the effects of particulate matter on asthma hospitalization. We calculated estimates of the relative risk of asthma hospitalization adjusted for daily weather conditions (maximum and minimum temperatures, and average relative humidity) for an incremental exposure corresponding to the interquartile range in particulate matter. Both bidirectional case-crossover and time-series analyses revealed that coarse particulate matter (PM10-2.5) averaged over 5-6 days was significantly associated with asthma hospitalization in both males and females. The magnitude of this effect appeared to increase with increasing number of days of exposure averaging for most models, with the relative risk estimates stabilizing at about 6 days. Using a bidirectional case-crossover analysis, the estimated relative risks were 1.14 [95% confidence interval (CI), 1.02, 1.28] for males and 1.18 (95% CI, 1.02, 1.36) for females, for an increment of 8.4 microg/m(3) in 6-day averages of PM10-2.5. The corresponding relative risk estimates were 1.10 and 1.18, respectively, when we used time-series analysis. The effect of PM10-2.5 remained positive after adjustment for the effects of the gaseous pollutants carbon monoxide (CO), nitrogen dioxide (NO2), sulfur dioxide (SO2), and ozone (O3). We did not find significant effects of fine particulate matter (PM2.5) or of thoracic particulate matter (PM10) on asthma hospitalizations using either of these two analytic approaches. For the most part, relative risk estimates from the unidirectional case-crossover analysis were more pronounced compared with both bidirectional case-crossover and time-series analyses.",https://pubmed.ncbi.nlm.nih.gov/12055048/,EXCLUDE,MEDIUM,NÃO MEDE MP2.5,2
LBL-009,32356054,10.1007/s11356-020-08542-5,2020,Environmental science and pollution research international,The short-term effects of air pollution on respiratory disease hospitalizations in 5 cities in Poland: comparison of time-series and case-crossover analyses.,"Very few publications have compared different study designs investigating the short-term effects of air pollutants on healthcare visits and hospitalizations for respiratory tract diseases. This study describes, using two different study designs (a case-crossover design and a time-series analysis), the association of air pollutants and respiratory disease hospitalizations. The study has been conducted on 5 cities in Poland on a timeline of almost 4 years. DLNM and regression models were both used for the assessment of the short-term effects of air pollution peaks on respiratory hospitalizations. Both case-crossover and time-series studies equally revealed a positive association between air pollution peaks and hospitalization occurrences. Results were provided in the form of percentage increase of a respiratory visit/hospitalization, for each 10-μg/m3 increment in single pollutant level for both study designs. The most significant estimated % increases of hospitalizations linked to increase of 10 μg/m3 of pollutant have been recorded in general with particulate matter, with highest values for 24 h PM2.5 in Warsaw (6.4%, case-crossover; 4.5%, time series, respectively) and in Białystok (5.6%, case-crossover; 4.5%, time series, respectively). The case-crossover analysis results have shown a larger CI in comparison to the results of the time-series analysis, while the lag days were easier to identify with the case-crossover design. The trends and the overlap of the results occurring from both methods are good and show applicability of both study designs to air pollution effects on short-term hospitalizations.",https://pubmed.ncbi.nlm.nih.gov/32356054/,UNCERTAIN,MEDIUM,"CITA IC, MAS SEM VALORES NUMERICOS",5b
LBL-011,26338689,10.1136/bmjopen-2015-009075,2015,BMJ open,Health risk of air pollution on people living with major chronic diseases: a Canadian population-based study.,"OBJECTIVES: The objective of this study was to use health administrative and environmental data to quantify the effects of ambient air pollution on health service use among those with chronic diseases. We hypothesised that health service use would be higher among those with more exposure to air pollution as measured by the Air Quality Health Index (AQHI). SETTING: Health administrative data was used to quantify health service use at the primary (physician office visits) and secondary (emergency department visits, hospitalisations) level of care in Ontario, Canada. PARTICIPANTS: We included individuals who resided in Ontario, Canada, from 2003 to 2010, who were ever diagnosed with one of 11 major chronic diseases. OUTCOME MEASURES: Rate ratios (RR) from Poisson regression models were used to estimate the short-term impact of incremental unit increases in AQHI, nitrogen dioxide (NO2; 10 ppb), fine particulate matter (PM2.5; 10 µg/m(3)) and ozone (O3; 10 ppb) on health services use among individuals with each disease. We adjusted for age, sex, day of the week, temperature, season, year, socioeconomic status and region of residence. RESULTS: Increases in outpatient visits ranged from 1% to 5% for every unit increase in the 10-point AQHI scale, corresponding to an increase of about 15,000 outpatient visits on a day with poor versus good air quality. The greatest increases in outpatient visits were for individuals with non-lung cancers (AQHI:RR=1.05; NO2:RR=1.14; p<0.0001) and COPD (AQHI:RR=1.05; NO2:RR=1.12; p<0.0001) and in hospitalisations, for individuals with diabetes (AQHI:RR=1.04; NO2:RR=1.07; p<0.0001) and COPD (AQHI:RR=1.03; NO2:RR=1.09; p<1.001). The impact remained 2 days after peak AQHI levels. CONCLUSIONS: Among individuals with chronic diseases, health service use increased with higher levels of exposure to air pollution, as measured by the AQHI. Future research would do well to measure the utility of targeted air quality advisories based on the AQHI to reduce associated health service use.",https://pubmed.ncbi.nlm.nih.gov/26338689/,EXCLUDE,MEDIUM,"OUTCOME NÃO É BEM ESPECIFICADO SER RESPIRATÓRIO E SIM DE DOENÇAS CRONICAS, POR MAIS QUE CITE DPOC NO FINAL, NÃO SENTI QUE SERIA A INTENÇÃO DO ESTUDO SER OUTCOME RESPIRATÓRIO. NÃO MENCIONA SER TIME SERIES OU CASE CROSSOVER. NÃO CITA EFEITO QUANTITATIVO PRO MP2,5","3,4,5b"
LBL-022,26350981,10.1038/jes.2015.57,2016,Journal of exposure science & environmental epidemiology,Ambient air pollution and emergency department visits for asthma: a multi-city assessment of effect modification by age.,"Previous studies have found strong associations between asthma morbidity and major ambient air pollutants. Relatively little research has been conducted to assess whether age is a factor conferring susceptibility to air pollution-related asthma morbidity. We investigated the short-term relationships between asthma emergency department (ED) visits and ambient ozone (O3), carbon monoxide (CO), nitrogen dioxide (NO2), sulfur dioxide (SO2), and fine particulate matter (PM2.5) in Atlanta (1993-2009), Dallas (2006-2009), and St. Louis (2001-2007). City-specific daily time-series analyses were conducted to estimate associations by age group (0-4, 5-18, 19-39, 40-64, and 65+ years). Sub-analyses were performed stratified by race and sex. City-specific rate ratios (RRs) were combined by inverse-variance weighting to provide an overall association for each strata. The overall RRs differed across age groups, with associations for all pollutants consistently strongest for children aged 5-18 years. The patterns of association across age groups remained generally consistent when models were stratified by sex and race, although the strong observed associations among 5-18 year olds appeared to be partially driven by non-white and male patients. Our findings suggest that age is a susceptibility factor for asthma exacerbations in response to air pollution, with school-age children having the highest susceptibility.",https://pubmed.ncbi.nlm.nih.gov/26350981/,UNCERTAIN,HIGH,"RR SEM VALORES, APENAS CITA QUE FOI USADO",5b
LBL-030,21569371,10.1186/1476-069X-10-36,2011,Environmental health : a global access science source,Implications of different approaches for characterizing ambient air pollutant concentrations within the urban airshed for time-series studies and health benefits analyses.,"BACKGROUND: In time-series studies of the health effects of urban air pollutants, decisions must be made about how to characterize pollutant levels within the airshed. METHODS: Emergency department visits for pediatric asthma exacerbations were collected from Atlanta hospitals. Concentrations of carbon monoxide, nitrogen dioxide, ozone, sulfur dioxide, particulate matter less than 10 microns in diameter (PM10), particulate matter less than 2.5 microns in diameter (PM2.5), and the PM2.5 components elemental carbon, organic carbon, and sulfate were obtained from networks of ambient air quality monitors. For each pollutant we created three different daily metrics. For one metric we used the measurements from a centrally-located monitor; for the second we averaged measurements across the network of monitors; and for the third we estimated the population-weighted average concentration using an isotropic spatial model. Rate ratios for each of the metrics were estimated from time-series models. RESULTS: For pollutants with relatively homogeneous spatial distributions we observed only small differences in the rate ratio across the three metrics. Conversely, for spatially heterogeneous pollutants we observed larger differences in the rate ratios. For a given pollutant, the strength of evidence for an association (i.e., chi-square statistics) tended to be similar across metrics. CONCLUSIONS: Given that the chi-square statistics were similar across the metrics, the differences in the rate ratios for the spatially heterogeneous pollutants may seem like a relatively small issue. However, these differences are important for health benefits analyses, where results from epidemiological studies on the health effects of pollutants (per unit change in concentration) are used to predict the health impacts of a reduction in pollutant concentrations. We discuss the relative merits of the different metrics as they pertain to time-series studies and health benefits analyses.",https://pubmed.ncbi.nlm.nih.gov/21569371/,UNCERTAIN,HIGH,"CITA RR, MAS SEM VALORES ",5b
LBL-033,31787180,10.1016/j.jes.2019.05.015,2019,Journal of environmental sciences (China),Association of emergency room visits for respiratory diseases with sources of ambient PM,"Previous studies have reported associations of short-term exposure to different sources of ambient fine particulate matter (PM2.5) and increased mortality or hospitalizations for respiratory diseases. Few studies, however, have focused on the short-term effects of source-specific PM2.5 on emergency room visits (ERVs) of respiratory diseases. Source apportionment for PM2.5 was performed with Positive Matrix Factorization (PMF) and generalized additive model was applied to estimate associations between source-specific PM2.5 and respiratory disease ERVs. The association of PM2.5 and total respiratory ERVs was found on lag4 (RR = 1.011, 95%CI: 1.002, 1.020) per interquartile range (76 μg/m3) increase. We found PM2.5 to be significantly associated with asthma, bronchitis and chronic obstructive pulmonary disease (COPD) ERVs, with the strongest effects on lag5 (RR = 1.072, 95%CI: 1.024, 1.119), lag4 (RR = 1.104, 95%CI: 1.032, 1.176) and lag3 (RR = 1.091, 95%CI: 1.047, 1.135), respectively. The estimated effects of PM2.5 changed little after adjusting for different air pollutants. Six primary PM2.5 sources were identified using PMF analysis, including dust/soil (6.7%), industry emission (4.5%), secondary aerosols (30.3%), metal processing (3.2%), coal combustion (37.5%) and traffic-related source (17.8%). Some of the sources were identified to have effects on ERVs of total respiratory diseases (dust/soil, secondary aerosols, metal processing, coal combustion and traffic-related source), bronchitis ERVs (dust/soil) and COPD ERVs (traffic-related source, industry emission and secondary aerosols). Different sources of PM2.5 contribute to increased risk of respiratory ERVs to different extents, which may provide potential implications for the decision making of air quality related policies, rational emission control and public health welfare.",https://pubmed.ncbi.nlm.nih.gov/31787180/,UNCERTAIN,MEDIUM,"NÃO CITA DESIGN CLARO, MAS GAM E USO DE LAGS PODEM CARACTERIZAR TIME SERIES",4
LBL-034,32760064,10.1371/journal.pmed.1003188,2020,PLoS medicine,Ambient air pollution and cause-specific risk of hospital admission in China: A nationwide time-series study.,"BACKGROUND: The impacts of air pollution on circulatory and respiratory systems have been extensively studied. However, the associations between air pollution exposure and the risk of noncommunicable diseases of other organ systems, including diseases of the digestive, musculoskeletal, and genitourinary systems, remain unclear or inconclusive. We aimed to systematically assess the associations between short-term exposure to main air pollutants (fine particulate matter [PM2.5] and ozone) and cause-specific risk of hospital admission in China over a wide spectrum of human diseases. METHODS AND FINDINGS: Daily data on hospital admissions for primary diagnosis of 14 major and 188 minor disease categories in 252 Chinese cities (107 cities in North China and 145 cities in South China) from January 1, 2013, to December 31, 2017, were obtained from the Hospital Quality Monitoring System of China (covering 387 hospitals in North China and 614 hospitals in South China). We applied a 2-stage analytic approach to assess the associations between air pollution and daily hospital admissions. City-specific associations were estimated with quasi-Poisson regression models and then pooled by random-effects meta-analyses. Each disease category was analyzed separately, and the P values were adjusted for multiple comparisons. A total of 117,338,867 hospital admissions were recorded in the study period. Overall, 51.7% of the hospitalized cases were male, and 71.3% were aged <65 years. Robust positive associations were found between short-term PM2.5 exposure and hospital admissions for 7 major disease categories: (1) endocrine, nutritional, and metabolic diseases; (2) nervous diseases; (3) circulatory diseases; (4) respiratory diseases; (5) digestive diseases; (6) musculoskeletal and connective tissue diseases; and (7) genitourinary diseases. For example, a 10-μg/m3 increase in PM2.5 was associated with a 0.21% (95% CI 0.15% to 0.27%; adjusted P < 0.001) increase in hospital admissions for diseases of the digestive system on the same day in 2-pollutant models (adjusting for ozone). There were 35 minor disease categories significantly positively associated with same-day PM2.5 in both single- and 2-pollutant models, including diabetes mellitus, anemia, intestinal infection, liver diseases, gastrointestinal hemorrhage, renal failure, urinary tract calculus, chronic ulcer of skin, and back problems. The association between short-term ozone exposure and respiratory diseases was robust. No safety threshold in the exposure-response relationships between PM2.5 and hospital admissions was observed. The main limitations of the present study included the unavailability of data on personal air pollution exposures. CONCLUSIONS: In the Chinese population during 2013-2017, short-term exposure to air pollution, especially PM2.5, was associated with increased risk of hospitalization for diseases of multiple organ systems, including certain diseases of the digestive, musculoskeletal, and genitourinary systems; many of these associations are important but still not fully recognized. The effect estimates and exposure-response relationships can inform policy making aimed at protecting public health from air pollution in China.",https://pubmed.ncbi.nlm.nih.gov/32760064/,UNCERTAIN,HIGH,"CITA IC%, MAS NÃO TRÁS VALORES PARA OUTCOME RESPIRATÓRIO",5b
LBL-036,34574538,10.3390/ijerph18189617,2021,International journal of environmental research and public health,Ambient PM,"Evidence of associations between exposure to ambient air pollution and health outcomes are sparse in the South Asian region due to limited air pollution exposure and quality health data. This study investigated the potential impacts of ambient particulate matter (PM) on respiratory disease hospitalization in Kandy, Sri Lanka for the year 2019. The Generalized Additive Model (GAM) was applied to estimate the short-term effect of ambient PM on respiratory disease hospitalization. As the second analysis, respiratory disease hospitalizations during two distinct air pollution periods were analyzed. Each 10 μg/m3 increase in same-day exposure to PM2.5 and PM10 was associated with an increased risk of respiratory disease hospitalization by 1.95% (0.25, 3.67) and 1.63% (0.16, 3.12), respectively. The effect of PM2.5 or PM10 on asthma hospitalizations were 4.67% (1.23, 8.23) and 4.04% (1.06, 7.11), respectively (p < 0.05). The 65+ years age group had a higher risk associated with PM2.5 and PM10 exposure and hospital admissions for all respiratory diseases on the same day (2.74% and 2.28%, respectively). Compared to the lower ambient air pollution period, higher increased hospital admissions were observed among those aged above 65 years, males, and COPD and pneumonia hospital admissions during the high ambient air pollution period. Active efforts are crucial to improve ambient air quality in this region to reduce the health effects.",https://pubmed.ncbi.nlm.nih.gov/34574538/,UNCERTAIN,MEDIUM,"NÃO É EXPLICITO TIME SERIES, FICA SUBENTENDIDO, MAS É INCERTO",4
LBL-038,39520750,10.1016/j.ecoenv.2024.117289,2024,Ecotoxicology and environmental safety,Ambient air pollution and hospital admission for interstitial lung diseases: A multicenter hospital-based case-crossover study.,"Interstitial lung diseases (ILDs) lead to increased morbidity and premature deaths, imposing a significant burden on public health worldwide. Recently, several studies have linked ambient air pollution with the acute exacerbation of certain ILDs, but the evidence remains limited and inconclusive. With a multicenter hospital-based case-crossover design, we investigated 9128 patients who resided in Jiangsu province, China, and were admitted for ILDs between 2019 and 2022. Residential exposure to particulate matter with an aerodynamic diameter ≤ 2.5 µm (PM2.5), PM10, sulfur dioxide (SO2), nitrogen dioxide (NO2), carbon monoxide (CO), and ozone (O3) was assessed using our validated grid datasets. We fitted conditional logistic regression models to examine associations of exposure to air pollutants with ILD admission. A 10 µg/m3 increment of exposure to SO2 and NO2 was positively associated with a 16.18 % (95 % confidence interval [CI]: 3.79 %, 30.03 %) and 4.06 % (0.75 %, 7.49 %) increase in odds of ILD admission, respectively. All these associations appeared to be linear and the association of SO2 exposure was significantly stronger among older adults. We estimated that over 10 % of ILD admissions could be attributable to exposure to SO2 and NO2. This study provides compelling evidence on the association of exposure to ambient air pollutants (including SO2 and NO2) with an increased odds of ILD hospitalizations. Our findings indicate that SO2 and NO2 exposures can lead to the exacerbation of ILDs, especially in elderly, and that the disease burden is considerable.",https://pubmed.ncbi.nlm.nih.gov/39520750/,UNCERTAIN,HIGH,"CITA IC9%, MAS SEM VALORES PARA MP2.5",5b
LBL-039,30698228,10.1590/1414-431X20188130,2019,Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologica,Effects of exposure to fine particulate matter in elderly hospitalizations due to respiratory diseases in the South of the Brazilian Amazon.,"Exposure to air pollution is an important cause of hospital admissions due to respiratory diseases. Nevertheless, few studies use pollutant concentration data estimated by mathematical models. A time-series ecological study was developed, using data from hospitalizations due to respiratory diseases in people over 60 years of age, residents of Cuiabá, Brazil, during 2012, obtained from the Brazilian Ministry of Health. The independent variables were the concentrations of fine particulate matter (PM2.5) and carbon monoxide (CO) estimated by mathematical modeling, minimum temperature, and relative humidity (obtained from the Brazilian Meteorological Agency), and the number of forest fires. The generalized linear regression model of Poisson was used, with lags of 0 to 7 days. The coefficients obtained were transformed into relative risk of hospitalization, with respective 95% confidence intervals; alpha=5% was adopted. In that year, 591 hospitalizations were evaluated, with a daily average of 1.61 (SD=1.49), the PM2.5 average concentration was 15.7 µg/m3, and the CO average concentration was 144.2 ppb. Significant associations between exposure to these contaminants and hospitalizations in lags 3 and 4 in 2012 were observed. There was a hospitalization risk increase of 31.8%, with an increase of 3.5 µg/m3 of PM2.5 concentrations and an increase of 188 in the total number of hospitalizations, with an expense of more than ≈US$ 96,000 for the Brazilian Public Health System. This study provided information on the cost of air pollution to the health system and the feasibility of using a mathematical model to estimate environmental concentration of air pollutants.",https://pubmed.ncbi.nlm.nih.gov/30698228/,UNCERTAIN,HIGH,"CITA IC 95%, SEM VALORES",5b
