"labeling_id","labeler1_decision","labeler1_confidence","labeler1_rationale","labeler2_decision","labeler2_confidence","labeler2_rationale","resolution","resolver_notes"
"LBL-003","EXCLUDE","HIGH","Não mede PM2.5","INCLUDE","HIGH","ESTUDO-MP2,5-CASE CROSSOVER E TIME SERIES-HOSPITALIZAÇÃO ASMA-IC 95%-INGLES","",""
"LBL-009","EXCLUDE","HIGH","Não tem número + IC 95%","INCLUDE","MEDIUM","CITA ""GRANDE IC"", SEM VALORES, DEMAIS CRITERIOS OK","",""
"LBL-011","EXCLUDE","HIGH","Não especifica se é time-series; não tem RR com IC 95%","INCLUDE","MEDIUM","ESTUDO-MP2,5-TIME SERIES-DPOC-RR-INGLÊS","",""
"LBL-022","EXCLUDE","HIGH","Não tem RR com IC 95%","INCLUDE","MEDIUM","ESTUDO-MP2,5-TIME SERIES-ASMA-RR-INGLÊS","",""
"LBL-030","EXCLUDE","HIGH","Não tem número + IC 95%","INCLUDE","MEDIUM","ESTUDO-MP2,5-TIME SERIES-ASMA-RR-INGLÊS","",""
"LBL-033","UNCERTAIN","MEDIUM","PM2.5 + respiratório ok, mas não fica claro o design: time-series ou parecido","INCLUDE","HIGH","ESTUDO-MP2,5-CASE CROSSOVER-DPOC-IC 95%-INGLES","",""
"LBL-034","EXCLUDE","HIGH","Não tem hospitalização respiratória","INCLUDE","MEDIUM","ESTUDO-MP2,5-TIME SERIES-HOSPITAL-IC 95%-INGLÊS","",""
"LBL-036","UNCERTAIN","MEDIUM","Não especifica se é IC 95%","INCLUDE","MEDIUM","ESTUDO-MP2,5-TIME SERIES-RESPIRATÓRIO-IC 95% SUBENTENDIDO-INGLÊS","",""
"LBL-038","EXCLUDE","HIGH","Não tem número + IC 95% para PM2.5","INCLUDE","MEDIUM","ESTUDO-MP2,5-CASE CROSSOVER-RESPIRATÓRIO-IC 95% NAO SIGNIFICATIVO MP2,5-INGLÊS","",""
"LBL-039","EXCLUDE","HIGH","Não tem número + IC 95%","INCLUDE","HIGH","ESTUDO-MP2,5-TIME SERIES-HOSPITAL-IC 95%-INGLÊS","",""
"LBL-047","EXCLUDE","HIGH","Não mede PM2.5, não tem número + IC 95% para PM2.5","INCLUDE","HIGH","ESTUDO-MP2,5-TIME SERIES-ASMA-IC 95% RR-INGLÊS","",""
"LBL-051","EXCLUDE","HIGH","Não tem número + IC 95% para PM2.5","UNCERTAIN","MEDIUM","USA MP2,5 MAS NAO MEDE","",""
"LBL-056","INCLUDE","HIGH","PM2,5, hospital admissions,  times-series, RR com IC 95%","EXCLUDE","HIGH","NAO É EM INGLÊS","",""
"LBL-059","EXCLUDE","HIGH","Não tem número + IC 95% para PM2.5","INCLUDE","HIGH","ESTUDO-MP2,5-CASE CROSSOVER-HOSPITAL-IC 95%-INGLÊS","",""
"LBL-061","EXCLUDE","HIGH","Não tem número + IC 95% para PM2.5","INCLUDE","HIGH","ESTUDO-MP2,5-TIME SERIES-CARDIORESPIRATÓRIO-IC 95%-INGLÊS","",""
"LBL-064","EXCLUDE","HIGH","Não tem número + IC 95% para PM2.5 por causas respiratorias","INCLUDE","LOW","ESTUDO-MP2,5-TIME SERIES MAS FALA COHORT-ED RESPIRATÓRIO-IC 95%-INGLÊS","",""
"LBL-068","EXCLUDE","HIGH","Não tem número + IC 95%","INCLUDE","LOW","ESTUDO-MP2,5-TIME SERIES-ASMA-CITA % DE UM EFEITO MAS NAO CITA QUAL-INGLÊS","",""
"LBL-069","EXCLUDE","HIGH","Não tem número + IC 95%","INCLUDE","MEDIUM","ESTUDO-MP2,5-TIME SERIES-DPOC-CITA RR SEM TRAZER MUITOS VALORES-INGLÊS","",""
"LBL-076","EXCLUDE","HIGH","Não tem número + IC 95% para PM2.5 por causas respiratorias","UNCERTAIN","HIGH","COHORT","",""
"LBL-082","EXCLUDE","HIGH","Não tem número + IC 95%","INCLUDE","MEDIUM","ESTUDO-MP2,5-TIME SERIES-RESPIRATÓRIO-IC 95% NAO APARENTE-INGLÊS","",""
"LBL-087","EXCLUDE","HIGH","Não tem número + IC 95%","INCLUDE","HIGH","ESTUDO-MP2,5-CASE CROSSOVER-RESPIRATÓRIO-IC 95%-INGLÊS","",""
"LBL-091","INCLUDE","HIGH","PM2,5, hospital admissions (AECOPD), time-series, RR com IC 95%","EXCLUDE","HIGH","NAO É EM INGLÊS","",""
"LBL-094","EXCLUDE","HIGH","Não tem número + IC 95%","INCLUDE","MEDIUM","ESTUDO-MP2,5-CASE CROSSOVER-RESPIRATÓRIO-CITA OR, MAS SEM VALORES-INGLÊS","",""
"LBL-097","EXCLUDE","HIGH","Não tem número + IC 95% para PM2,5","INCLUDE","MEDIUM","ESTUDO-MP2,5-TIME SERIES-RESPIRATÓRIO-NÃO CITA IC 95% PARA MP2,5-INGLÊS","",""
"LBL-100","EXCLUDE","HIGH","Não tem número + IC 95%","INCLUDE","MEDIUM","ESTUDO-MP2,5-TIME SERIES-RESPIRATÓRIO-IC 95% NAO CITADO, MAS CITA RR-INGLÊS","",""
