labeling_id,pmid,doi,year,journal,title,abstract,url,labeler2_decision,labeler2_confidence,labeler2_rationale,labeler2_criteria_failed
LBL-001,40328061,10.1016/j.scitotenv.2025.179560,2025,The Science of the total environment,How air pollution affects cause-specific emergency hospital admissions on days with biomass combustion in Spain?,"Although wildfires are growing in number, intensity and extent due to climate change, few studies have been undertaken to analyse their health impact, and fewer still to analyse the impact of variables other than particulate matter. The objective of this study is to analyse the short-term impact of NO2, PM10, PM2.5, O3 and temperature in heat waves on emergency hospital admissions in Spain on days when biomass combustion occurs. We conducted an ecological longitudinal time series study across the period 2013-2018. The dependent variables were emergency hospital admissions due to all causes (ICD-10: A00-R99), circulatory causes (ICD-10: I00-I99) and respiratory causes (ICD-10: J00-J99) in 9 representative Spanish provinces. The independent variables were daily mean air pollution concentrations measured at a provincial level. We also included daily maximum temperatures recorded at reference observatories in the respective provinces. Poisson generalised linear models were fitted for days with and without PM advections due to biomass burning smoke. We controlled for trends, seasonalities, the autoregressive nature of the series, Sundays and Public Holidays. Days with biomass burning smoke advections increased PM concentrations in all provinces and ozone in many of them, something that did not occur in equal measure in the case of NO2. Nevertheless, the principal impact on admissions was due to O3, followed by NO2, PM, and lastly, heat-wave temperatures. This pattern was observed for all three causes analysed. The role of PM was relegated to that of a third factor, and the role of temperature to an order of lesser magnitude than that of chemical pollution. To focus the health impacts of wildfires exclusively on the impact of PM concentrations would be to minimise their real impact on population health. It is therefore essential to implement integrated plans that take into account the joint effect of all atmospheric variables affected.",https://pubmed.ncbi.nlm.nih.gov/40328061/,EXCLUDE,HIGH,SEM IC 95%,5
LBL-002,29467106,10.1289/EHP2054,2018,Environmental health perspectives,"Ultrafine and Fine Particle Number and Surface Area Concentrations and Daily Cause-Specific Mortality in the Ruhr Area, Germany, 2009-2014.","BACKGROUND: Although epidemiologic studies have shown associations between particle mass and daily mortality, evidence on other particle metrics is weak. OBJECTIVES: We investigated associations of size-specific particle number concentration (PNC) and lung-deposited particle surface area concentration (PSC) with cause-specific daily mortality in contrast to PM10. METHODS: We used time-series data (March 2009-December 2014) on daily natural, cardiovascular, and respiratory mortality (NM, CVM, RM) of three adjacent cities in the Ruhr Area, Germany. Size-specific PNC (electric mobility diameter of 13.3-750 nm), PSC, and PM10 were measured at an urban background monitoring site. In single- and multipollutant Poisson regression models, we estimated percentage change (95% confidence interval) [% (95% CI)] in mortality per interquartile range (IQR) in exposure at single-day (0-7) and aggregated lags (0-1, 2-3, 4-7), accounting for time trend, temperature, humidity, day of week, holidays, period of seasonal population decrease, and influenza. RESULTS: PNC100-750 and PSC were highly correlated and had similar immediate (lag0-1) and delayed (lag4-7) associations with NM and CVM, for example, 1.12% (95% CI: 0.09, 2.33) and 1.56% (95% CI: 0.22, 2.92) higher NM with IQR increases in PNC100-750 at lag0-1 and lag4-7, respectfully, which were slightly stronger then associations with IQR increases in PM10. Positive associations between PNC and NM were strongest for accumulation mode particles (PNC 100-500 nm), and for larger UFPs (PNC 50-100 nm). Associations between NM and PNC<100 changed little after adjustment for O3 or PM10, but were more sensitive to adjustment for NO2. CONCLUSION: Size-specific PNC (50-500 nm) and lung-deposited PSC were associated with natural and cardiovascular mortality in the Ruhr Area. Although associations were similar to those estimated for an IQR increase in PM10, particle number size distributions can be linked to emission sources, and thus may be more informative for potential public health interventions. Moreover, PSC could be used as an alternative metric that integrates particle size distribution as well as deposition efficiency. https://doi.org/10.1289/EHP2054.",https://pubmed.ncbi.nlm.nih.gov/29467106/,EXCLUDE,HIGH,MP10-MORTALIDADE,"2,3"
LBL-003,12055048,10.1289/ehp.02110575,2002,Environmental health perspectives,The influence of ambient coarse particulate matter on asthma hospitalization in children: case-crossover and time-series analyses.,"In this study, we used both case-crossover and time-series analyses to assess the associations between size-fractionated particulate matter and asthma hospitalization among children 6-12 years old living in Toronto between 1981 and 1993. Specifically, we used exposures averaged over periods varying from 1 to 7 days to assess the effects of particulate matter on asthma hospitalization. We calculated estimates of the relative risk of asthma hospitalization adjusted for daily weather conditions (maximum and minimum temperatures, and average relative humidity) for an incremental exposure corresponding to the interquartile range in particulate matter. Both bidirectional case-crossover and time-series analyses revealed that coarse particulate matter (PM10-2.5) averaged over 5-6 days was significantly associated with asthma hospitalization in both males and females. The magnitude of this effect appeared to increase with increasing number of days of exposure averaging for most models, with the relative risk estimates stabilizing at about 6 days. Using a bidirectional case-crossover analysis, the estimated relative risks were 1.14 [95% confidence interval (CI), 1.02, 1.28] for males and 1.18 (95% CI, 1.02, 1.36) for females, for an increment of 8.4 microg/m(3) in 6-day averages of PM10-2.5. The corresponding relative risk estimates were 1.10 and 1.18, respectively, when we used time-series analysis. The effect of PM10-2.5 remained positive after adjustment for the effects of the gaseous pollutants carbon monoxide (CO), nitrogen dioxide (NO2), sulfur dioxide (SO2), and ozone (O3). We did not find significant effects of fine particulate matter (PM2.5) or of thoracic particulate matter (PM10) on asthma hospitalizations using either of these two analytic approaches. For the most part, relative risk estimates from the unidirectional case-crossover analysis were more pronounced compared with both bidirectional case-crossover and time-series analyses.",https://pubmed.ncbi.nlm.nih.gov/12055048/,INCLUDE,HIGH,"ESTUDO-MP2,5-CASE CROSSOVER E TIME SERIES-HOSPITALIZAÇÃO ASMA-IC 95%-INGLES",0
LBL-004,33919089,10.3390/ijerph18094400,2021,International journal of environmental research and public health,Short-Term Effects of Particulate Matter and Its Constituents on Emergency Room Visits for Chronic Obstructive Pulmonary Disease: A Time-Stratified Case-Crossover Study in an Urban Area.,"BACKGROUND: PM2.5 exposure is associated with pulmonary and airway inflammation, and the health impact might vary by PM2.5 constitutes. This study evaluated the effects of increased short-term exposure to PM2.5 constituents on chronic obstructive pulmonary disease (COPD)-related emergency department (ED) visits and determined the susceptible groups. METHODS: This retrospective observational study performed in a medical center from 2007 to 2010, and enrolled non-trauma patients aged >20 years who visited the emergency department (ED) and were diagnosed as COPD. Concentrations of PM2.5, PM10, and the four PM2.5 components, including organic carbon (OC), elemental carbon (EC), nitrate (NO3-), and sulfate (SO42-), were collected by three PM supersites in Kaohsiung City. We used an alternative design of the Poisson time series regression models called a time-stratified and case-crossover design to analyze the data. RESULTS: Per interquartile range (IQR) increment in PM2.5 level on lag 2 were associated with increments of 6.6% (95% confidence interval (CI), 0.5-13.0%) in risk of COPD exacerbation. An IQR increase in elemental carbon (EC) was significantly associated with an increment of 3.0% (95% CI, 0.1-5.9%) in risk of COPD exacerbation on lag 0. Meanwhile, an IQR increase in sulfate, nitrate, and OC levels was not significantly associated with COPD. Patients were more sensitive to the harmful effects of EC on COPD during the warm season (interaction p = 0.019). The risk of COPD exacerbation after exposure to PM2.5 was higher in individuals who are currently smoking, with malignancy, or during cold season, but the differences did not achieve statistical significance. CONCLUSION: PM2.5 and EC may play an important role in COPD events in Kaohsiung, Taiwan. Patients were more susceptible to the adverse effects of EC on COPD on warm days.",https://pubmed.ncbi.nlm.nih.gov/33919089/,INCLUDE,HIGH,"ESTUDO-MP2,5-CASE CROSSOVER-DPOC-IC 95%-INGLES",0
LBL-005,35307034,10.1186/s12931-022-01983-1,2022,Respiratory research,"Asthma and COPD exacerbation in relation to outdoor air pollution in the metropolitan area of Berlin, Germany.","BACKGROUND: Ambient air pollution poses a major risk for the development and aggravation of respiratory diseases. Evidence suggests that even in low-level air pollution environments there is a risk for an increase in adverse respiratory symptoms. We examined whether variations in daily air pollution levels of nitrogen dioxide, ozone, or particulate matter in Berlin, Germany were associated with hospital admissions of chronic obstructive pulmonary disease (COPD) and asthma patients in a time series analysis. METHODS: We calculated single and multi-pollutant models, investigated possible lags in effect, and analysed the influence of meteorological variables on the results. Data from January 2005 through December 2015 were used to quantify the concentration-response. RESULTS: The risk ratio for asthma patients to be hospitalised on the same day of NO2 exposure was 1.101 per 10 µg/m3 NO2 increase (95% CI: 1.013 to 1.195), for COPD patients 1.123 (95% CI: 1.081 to 1.168). Neither the exposure to ozone (95% CI: 0.904 to 1.020), PM10 (95% CI: 0.990 to 1.127), nor PM2.5 (95% CI: 0.981 to 1.148) was associated with an increased risk ratio for asthma patients to be hospitalised. Risk ratios for the hospital admission of COPD patients were also not increased due to ozone (95% CI: 0.981 to 1.033), PM10 (95% CI: 0.988 to 1.032), or PM2.5 (95% CI: 0.966 to 1.019) exposure. The presented risk ratios and confidence intervals relate to the day of exposure. We found no increased hospitalisation risks with a delayed occurrence on subsequent days. CONCLUSIONS: A quantifiable, statistically significant increase in risk for asthma and COPD exacerbations owing to NO2 exposure at levels well below European regulatory limit values was observed.",https://pubmed.ncbi.nlm.nih.gov/35307034/,INCLUDE,HIGH,"ESTUDO-MP2,5-TIME SERIES-IC 95%-INGLES",0
LBL-006,33157415,10.1016/j.ijheh.2020.113654,2021,International journal of hygiene and environmental health,Association of hospital admission for bronchiectasis with air pollution: A province-wide time-series study in southern China.,"The relation of acute fluctuations of air pollution to hospital admission for bronchiectasis remained uncertain, and large-scale studies were needed. We collected daily concentrations of particulate matter (PM), sulfur dioxide (SO2), nitrogen dioxide (NO2), carbon monoxide (CO), ozone (O3), and daily hospitalizations for bronchiectasis for 21 cities across Guangdong Province from 2013 through 2017. We examined their association using two-stage time-series analysis. Our analysis was stratified by specific sub-diagnosis, sex and age group to assess potential effect modifications. Relative risks of hospitalization for bronchiectasis were 1.060 (95%CI 1.014-1.108) for PM10 at lag0-6, 1.067 (95%CI 1.020-1.116) for PM2.5 at lag0-6, 1.038 (95%CI 1.005-1.073) for PMcoarse at lag0-6, 1.058 (95%CI 1.015-1.103) for SO2 at lag0-4, 1.057 (95%CI 1.030-1.084) for NO2 at lag0 and 1.055 (95%CI 1.025-1.085) for CO at lag0-6 per interquartile range increase of air pollution. Specifically, acute fluctuations of air pollution might be a risk factor for bronchiectasis patients with lower respiratory infection but not with hemoptysis. Patients aged ≥65 years, and female patients appeared to be particularly susceptible to air pollution. Acute fluctuations of air pollution, particularly PM may increase the risk of hospital admission for bronchiectasis exacerbations, especially for the patients complicated with lower respiratory infection. This study strengthens the importance of reducing adverse impact on respiratory health of air pollution to protect vulnerable populations.",https://pubmed.ncbi.nlm.nih.gov/33157415/,INCLUDE,HIGH,"ESTUDO-MP2,5-TIME SERIES-IC 95%-INGLES",0
LBL-007,29317583,10.11817/j.issn.1672-7347.2017.12.010,2017,Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,[Relationship between air pollution and the number of pneumonia hospitalization in a children's hospital in Changsha].,"To explore the relationship between air pollution and the number of pneumonia hospitalization in a children's hospital in Changsha.  Methods: Children who have been in this hospital for the treatment of pneumonia between December 2013 and December 2015 were enrolled in this study. Based on daily meteorological data and air pollution data from December 2013 to December 2015 in Changsha, we constructed a generalized additive model to analyze the relationship between air pollution and the number of pneumonia hospitalization.  Results: During the research, the average concentration of PM2.5 and PM10 exceeded the Grade II national standards for air quality. The average concentration of SO2 exceeded the Grade I national standards. The change of all the 3 main air pollution indexes showed strong statistical relationship with the change of the number of pneumonia hospitalization (P<0.05), among which, the impact of SO2 ranked number 1, followed by PM2.5 and PM10. Effect of atmospheric pollution on the number of pneumonia boys was basically same as that in the total pneumonia children (P<0.05). The effect on girls showed no statistical relationship in both models (P>0.05).  Conclusion: The concentrations of SO2, PM2.5 and PM10 are positively correlated with pneumonia hospitalization number of children, and their effect on boys is more obvious than that in the girls. 目的：探讨大气污染与长沙市某儿童医院肺炎住院人数的关联性。方法：以长沙市某儿童医院2013年12月至2015年12月因肺炎住院者为研究对象，结合长沙市区2013年12月至2015年12月逐日气象数据及大气污染数据，利用时间序列的广义相加Poisson回归模型，探讨长沙市区大气污染与该儿童医院肺炎住院人数的关联性。结果：研究期间长沙市大气污染各指标中，PM2.5，PM10浓度均超出国家空气质量二级标准，SO2浓度超出国家一级标准；PM2.5，PM10，SO2 3种污染物浓度的改变与儿童肺炎住院人数改变的关联均有统计学意义(P<0.05)，其中SO2影响最大，PM2.5，PM10次之。大气污染对男童肺炎住院人数的影响与对总住院人数的影响基本一致(P<0.05)，对女童住院人数的影响在各模型中均无统计学意义(P>0.05)。结论：SO2，PM2.5及PM10浓度与该儿童医院肺炎住院人数呈正相关，且对男童的影响较女童大。.",https://pubmed.ncbi.nlm.nih.gov/29317583/,EXCLUDE,MEDIUM,NÃO É EM INGLÊS,6
LBL-008,36856604,10.20452/pamw.16444,2023,Polish archives of internal medicine,"Air pollution and long-term risk of hospital admission due to chronic obstructive pulmonary disease exacerbations in Poland: a time-stratified, case-crossover study.","INTRODUCTION: Airborne pollutants may worsen the course of chronic obstructive pulmonary disease (COPD). Previous studies have shown that both particulate and gaseous pollutants increase airway inflammation, which may lead to an exacerbation of COPD. OBJECTIVES: The aim of the study was to investigate the association between exposure to airborne pollutants and the risk of COPD exacerbations in 3 the largest urban agglomerations in Poland: Warsaw, Kraków, and Tricity. PATIENTS AND METHODS: We used a case‑crossover approach to analyze data from the years 2011-2018. This time‑series study used distributed lag linear-nonlinear models to analyze the risk of hospital admission due to COPD exacerbations during 21 days following the exposure to particulate matter (PM), NO2, and SO2. RESULTS: Overall, there were 26 948 admissions due to COPD exacerbations. During 21 days after exposure, the rate ratio (95% CI) for admissions per 10 μg/m3 was 1.028 (1.008-1.049) for PM10, 1.030 (1.006-1.055) for PM2.5, 1.032 (0.988-1.078) for NO2, and 1.145 (1.038-1.262) for SO2. The risk for admission peaked at 10 days after the exposure to PM10 and PM2.5, whereas for NO2 and SO2 the risk was the greatest on the day of exposure. The proportion (95% CI) of hospitalizations attributable to air pollution was 9.08% (3.10%-15.08%) for PM10, 7.61% (1.27%-13.49%) for PM2.5, 9.77% (-3.63% to 21.48%) for NO2, and 7.70% (2.30%-12.84%) for SO2. CONCLUSIONS: PM2.5, PM10, NO2, and SO2 pollution was associated with an increased risk of COPD exacerbations that needed hospitalization. There were different risk patterns for particulate and gaseous pollutants. Improving air quality in Polish cities could reduce the burden of COPD.",https://pubmed.ncbi.nlm.nih.gov/36856604/,INCLUDE,HIGH,"ESTUDO-MP2,5-CASE CROSSOVER E TIME SERIES-DPOC-IC 95%-INGLES",0
LBL-009,32356054,10.1007/s11356-020-08542-5,2020,Environmental science and pollution research international,The short-term effects of air pollution on respiratory disease hospitalizations in 5 cities in Poland: comparison of time-series and case-crossover analyses.,"Very few publications have compared different study designs investigating the short-term effects of air pollutants on healthcare visits and hospitalizations for respiratory tract diseases. This study describes, using two different study designs (a case-crossover design and a time-series analysis), the association of air pollutants and respiratory disease hospitalizations. The study has been conducted on 5 cities in Poland on a timeline of almost 4 years. DLNM and regression models were both used for the assessment of the short-term effects of air pollution peaks on respiratory hospitalizations. Both case-crossover and time-series studies equally revealed a positive association between air pollution peaks and hospitalization occurrences. Results were provided in the form of percentage increase of a respiratory visit/hospitalization, for each 10-μg/m3 increment in single pollutant level for both study designs. The most significant estimated % increases of hospitalizations linked to increase of 10 μg/m3 of pollutant have been recorded in general with particulate matter, with highest values for 24 h PM2.5 in Warsaw (6.4%, case-crossover; 4.5%, time series, respectively) and in Białystok (5.6%, case-crossover; 4.5%, time series, respectively). The case-crossover analysis results have shown a larger CI in comparison to the results of the time-series analysis, while the lag days were easier to identify with the case-crossover design. The trends and the overlap of the results occurring from both methods are good and show applicability of both study designs to air pollution effects on short-term hospitalizations.",https://pubmed.ncbi.nlm.nih.gov/32356054/,INCLUDE,MEDIUM,"CITA ""GRANDE IC"", SEM VALORES, DEMAIS CRITERIOS OK",0
LBL-010,30277796,10.1164/rccm.201806-1147OC,2019,American journal of respiratory and critical care medicine,Age-Specific Associations of Ozone and Fine Particulate Matter with Respiratory Emergency Department Visits in the United States.,"RATIONALE: Whereas associations between air pollution and respiratory morbidity for adults 65 years and older are well documented in the United States, the evidence for people under 65 is less extensive. To address this gap, the Centers for Disease Control and Prevention's National Environmental Public Health Tracking Program collected respiratory emergency department (ED) data from 17 states. OBJECTIVES: To estimate age-specific acute effects of ozone and fine particulate matter (particulate matter ≤2.5 mm in aerodynamic diameter [PM2.5]) on respiratory ED visits. METHODS: We conducted time-series analyses in 894 counties by linking daily respiratory ED visits with estimated ozone and PM2.5 concentrations during the week before the date of the visit. Overall effect estimates were obtained with a Bayesian hierarchical model to combine county estimates for each pollutant by age group (children, 0-18; adults, 19-64; adults ≥ 65, and all ages) and by outcome group (acute respiratory infection, asthma, chronic obstructive pulmonary disease, pneumonia, and all respiratory ED visits). MEASUREMENTS AND MAIN RESULTS: Rate ratios (95% credible interval) per 10-μg/m3 increase in PM2.5 and all respiratory ED visits were 1.024 (1.018-1.029) among children, 1.008 (1.004-1.012) among adults younger than 65 years, and 1.002 (0.996-1.007) among adults 65 and older. Per 20-ppb increase in ozone, rate ratios were 1.017 (1.011-1.023) among children, 1.051 (1.046-1.056) among adults younger than 65, and 1.033 (1.026-1.040) among adults 65 and older. Associations varied in magnitude by age group for each outcome group. CONCLUSIONS: These results address a gap in the evidence used to ensure adequate public health protection under national air pollution policies.",https://pubmed.ncbi.nlm.nih.gov/30277796/,INCLUDE,HIGH,"ESTUDO-MP2,5-TIME SERIES-ED-IC 95%-INGLES",0
